"text","likesCount","profileName","commentsCount"
"एउटा मिडिया हाउसको संचालक किर्ते कसुरमा पक्राउ पर्दा ""पख देखाइदिन्छु"" भनेर राज्यलाई ठाडो चुनौती र धम्की दिन्छ ।  नेताहरूले उसलाई समर्थन गर्दै संसद देखी सडक सम्म विरोधाभासपूर्ण अभिव्यक्ति दिन्छन । यसैबाट नेपालको राज्यव्यवस्था र राजनीति कुन धरातलमा छ भन्ने कुरा स्पष्ट हुन्छ !!","1","Khadka Kabin",
"सिरोहियालाई हरेक घन्टा एक भाटा चै चढाउनु","2","Netra Chaulagai",
"हार्दिक श्रदाञ्जलि १२ भाइ पुतिकार  मिडिया लाई","5","श्रि नारायण प्र. तिमिल्सेना","1"
"कान्तिपुर मिडिया देश दोही हो। भ्रमण समचार नलेख्न मेरो आग्रह छ।","0","Gopal Khadka Khadka",
"नागरिकता र पत्रकारिता एऊटै हैन कान्तिपुर ॥॥ जेल कोच्नु पर्छ है","10","Dev Sapkota","1"
"यो कान्तिपुर लाई नेपाली जनता मिलेर ठोक","9","Shuvashree Lungeli Jhamke",
"कान्तिपुर मिडियालाइ रोक लगाइयोस सरकार 🙏","4","अधिकारी तोष राजा",
"तिमिहरुको मालिकलाइ जेल जानु पर्छ","5","बेदुराम उपाध्याय",
"कम्तिमा पनि १० बर्स जेल हाल्नुपर्छ","4","Ram Hari Pandey","1"
"कति बौलाएको यो कान्तिपुर भन्ने प्राडी !!!🤭🤭🤭","1","Sajan Chudal",
"सिरोहियालाई पक्राउ गरेर मात्र हुदैन !! कान्तिपुर बन्द गर्नपर्छ !!!","3","Krishna Bhattarai",
"उनि निर्दोष छन् छोड्नुपर्छ भनेर कान्तिपुरले अहिले सम्म कुनै प्रमाण सहित लेखेको छैन तर खालि कतिबेला कलकार नेता  संघ सस्था अन्तराष्ट्रिय संस्थाहरूले रिहाईको माग गरे रे ! 
उनिमाथि जे आरोप लागेको छ त्यो खण्डन गर सक्छस भने हैन भने साहानुभुतिका आधारमा गलत गरेकोलाई छोड्ने कुरा नगर ! 
कारण प्रष्ट पार कान्तिपुर सिरोहियाको वंसज नागरिकता कसरी बन्छ कसरी बन्न मिल्छ ? 
नागरिकता नं. एउटै कसरी हुन्छ ! 15 बर्षमा नागरिकता कसले पाउछ ?","3","Madan Poudel Mdn",
"तेरि चोरहरु के को स्वतन्त्रको गर्छ ये माहाठग तेरो मालिकले कु क्रुत्री ठग्दै जानी नेपाल सरकारले सहयोग गर्नु पनि होईन नालयक हो।","1","Xetry Awish",
"लुटेराहरूको रडाको 😁😁😁😁","1","Shanti Ram Dahal",
"कैलाश सिरोहिया को नागरिकता किर्ते सम्बन्धि नाली बेलि यहाँ छ र समाउन परेको कारण  सबै ले हेरौ एक चोटि 
part:1
https://youtu.be/x6H2dnU7VzM?si=E4Xdp845imuQaFbcकैलाश सिरोहिया को नागरिकता किर्ते सम्बन्धि नालिबेली र समाउनु परेको कारण यहाँ छ 
part :2
https://youtu.be/LNX7ardwYlY?si=hUXLEG6ltdRE_aRO","0","Sundar Neupane",
"सड़क छाप विश्लेषण ! अनुसंधान धमील्याउने काम नगर !
Tuada Kutta Tommy Sada Kutta Kutta?","0","Sushant Gautam",
"Swatantra oatrakarita ko byakhya gar pahila , timeru muluk lai vram ma rakhera desh ra janat ko vabisya birudh deahdroh tmra vrastachaar gardai media propaganda gardai hinne ani ajhai chor ko thuko swor , swatantra patrakarita padnu chha vani aauda hunchha ma padai diula","0","Aj Srma",
"Best example of jo chor usko thulo sor 😆🤣","0","Sujal Rayamajhi",
"Timeru swatantra vako vaye swatantra janta le saath dinthyo ni . Ho timi haru propagandist desh ghaati tatwa hau tyo janta le bujhi sake bujhdai chhan , aru bujhne chhan tyei vayera saath deko chhaina . Rabi lamichane le ani oarhari le khutta nakamai kana yineru deshghaati tatwa birudh jaai lagnu nai thik hunchha jati pelera gayo tyeti nai rneoal ko vabisya ko lagi ujwal ho . Herau k garda rahrchhan yi deah ghaati tatwa hru le ,janta urki aako din yineru ko reporters club hosh kj 12 vai ki saathai dhal kasaiko kei lagdaina .","0","Aj Srma",
"Yesta mafiyalai hadai sammako karbahi hos","0","Uddav Rashaili",
"प्रेश माफिया मुर्दाबाद ।
कान्तिपुर बहिस्कार गरौं ।","1","Nirmal Thapa",
"Naagarikataa ko kuro k raxa mahodaya???","0","Kc Umesh",
"सबै चोर सङगठन हुन,,के को रोइलो हो??","0","Beautiful Life",
"लखेट यो भतुवा धोती कान्तिपुर लाई देश बाट ।","2","Jack Toms",
"गोही को जस्तो आशु निकालेर भुकेको भुकै छ तिम्रो मालिक किन कसरी जेल पर्योको अझै थाहा नभएकाले के हावा पोस्ट गर्दा हुन् ।।","0","Hari Bhandari",
"• के को रिहाई ?
  २/३ थान नागरिकता बोक्ने लाई जेल कोच्नुपर्छ भन्ने हिम्मत छ eKantipur ?","4","Manish Airee",
"महोदय यस विषयमा प्रेस स्वतन्त्रता कसरी आयो ???","0","LokendRa Na",
"देसै निकाला गरे टन्ठै साप उतै गयर गरोस जे जे गर्छन ,देश द्रोही र जन्ता तर्साउने मिडिया ले ।।","1","दीर्घ सिम्तालि रावत",
"शक्ति प्रदर्शन !
राम्रो छ ।","3","Himal Adhikari",
"मिडिया सँग लेना देना होईन कुरो किर्तेको हो ।","2","Binod Bhusal",
"पत्रकार भनेपछि जुन अपराध गरे नि छुट हुनुपर्ने रहेछ","4","Prem Neupane",
"ए होर कान्तिपुर अध्यक्षलाई  कानुन लाग्दैन 2 वटा नागरिकता लिन छुट छ भनेर प्रकाशन गर्छा भयो त","2","Sujan Budhathoki",
"सबै जनताले बुझिसकेका छ्न कान्तिपुर कस्तो मिडिया हो भन्ने कुरा गाउँ का कुना कुना मा थाहा छ माफिया मिडिया हो भन्ने कुरा।","2","Giri Pun",
"सिरोहिया लाई Binita kharel को प्रश्न तपाई ले कुन आधारमा वंशज को नागरिकता पाउनु भयो.? 
तपाईंको बुवा इन्डियन,आमा इन्डियन,४ जना दिदीहरू पनि इन्डियन भाइहरू पनि इन्डियन अनि तपाई कुन आधारमा नेपाली.?? बाउ नेपाली र आमा इन्डियन हुन्थ्यो भन्ने त्यहाँ छुट्याउन सकिन्थ्यो तर यहाँ सबै प्रमाण गलत छ! 
१० रुपैयाँ को पत्रिका बेचेर कसरी अर्व पति भइन्छ.?🙃🤔
२०१९ सालमा जन्म 
२०३४ सालमा नेपाली नागरिकता 
के १५ वर्षको उमेरमा नागरिकता पाइन्छ.?
प्रतिशोध होइन  तपाई लगायत तपाईंको हरेक घरको सदस्यको नागरिकता खारेज गर्नुपर्छ, नेपाली अनागरिक बनाउनु पर्छ। तपाईंको कालो कर्तुत हरु धेरै छन्। तपाई देखि गिरिजा प्रसाद कोइराला र कृष्ण प्रसाद भट्टराई (किशुन) जी पनि परेशान थिए। र कुरा रहयो जनकपुर को! तपाईंलाई जनकपुर मा कसैले पनि चिन्दैन। किनकि तपाईं त्यहाँको बासिन्दा नै होइन। यदि जनकपुरमा  घर  छ भन्ने बाजे,बाउको सम्पति सार्वजनिक गर्नुस।
#cpd","0","Shambhu Sapkota",
"यसकाे फलाेअर्स घटाउनकाे लागि सबै ले अनफलाे गर्नुस् याे पनि एउटा बिराेध हाे।","0","Rajendra Bhatta",
"Indian नागरिक लाई उसकै देश पठाऊन पर्छ ,कैलाश सिरोहीया  मुर्दावाद","1","Decoz Gurung",
"यति धेरै पाेष्ट त मानसिक राेगीले पनि गर्दैन । जनता र जनताकाे नेता अनि पार्टीसँग लड्न सक्दैनौँ, कान्तिपुर र जनताको शाेषक पार्टी कांग्रेस","3","महेश सिंह","4"
"कान्तिपुर मिडिया मुर्दावाद","3","Tara Lamichhane",
"स्वतन्त्र प्रेसप्रतिको हनन् भएको कहाँ छ। एक जना किर्ते अभियो लागेको व्यक्तिलाई राज्यले कानुन अनुसार कार्रवाई गर्नु खोज्दा प्रेस हनन् कसरी हुन्छ?","0","RK LâFâ",
"सिदा सादा व्यक्ति र संस्थालाई समेत जबरजस्ती बोल्न लगाइएको छ यहाँ।","1","RB Sunar",
"कान्तिपुर मिडिया मुर्दावाद!!!!तेरो बाउ दोहोरो नागरिता सम्बन्धि कसुरमा पक्राउ परेको हो । घटनालाई जति डाइभर्ट गर्ने कोसिस गरेपनि दुनियाँलाई थाहा छ । जमाना पहिला जस्तो छैन उल्टोलाई सुल्टो सुल्टो उल्टो भनेर भ्रम छर्न असम्भव ....","2","Padam Saud Saud",
"नागरिकता कसुरमा पक्राउ भनेर कसले बुझाइदिने हो ई घास हरुलाई।अझ अन्तराष्ट्रिय दबाब भन्दै आफै लेख्न लागाएको छ।हावा","2","Santosh Raj Silwal",
"लाेकतन्त्र तब सफल हुन्छ जब त्यस मुलुककाे नागरिकमा चेतना हुन्छ, ईमान्दारिता हुन्छ, राजनितीक र अाध्यत्मिक चेत हुन्छ । बिस्तारै ग्लाेबलाईजेसनकाे प्रभावले नपालीमा चेतनाकाे वृद्वी भईरहेकाे छ । राज्य संयन्त्रमा अनाधिकृत रुपमा पहुँच राख्ने र गभरमेण्ट Key बन्ने हरु पतन तिर जान्छन् नै । त्यसकाे सुरुवात याे एउटा हाे ।","1","Aghyat Vikram",
"पागल गल्ती नगरेको मान्छे होस भन्ने एकै लडाइँमा लड के जाम दुनियाँ देखाको छ नागरिकता केके कता कता गरेको छ। तेरो बाउको देश हो। कानुनमा बसेर सहि ढङ्गले गरेको भए कुनै पावरले केही गर्न सक्दैन ।।। जति पनि कान्तिपुरमा काम गर्ने अरु साथीहरुलाई के भन्छु भने ! पोइस र आफ्नो मान संमान लिलाम गरेर यति पनि नगर्नुहोस् 🙏🙏 पैसा नै सबैथोक होइन 🙏🙏","0","Nabeen  Khapangi",
"कान्तिपुर मिडिया मुर्दावाद!!!!तेरो बाउ दोहोरो नागरिता सम्बन्धि कसुरमा पक्राउ परेको हो । घटनालाई जति डाइभर्ट गर्ने कोसिस गरेपनि दुनियाँलाई थाहा छ । जमाना पहिला जस्तो छैन उल्टोलाई सुल्टो सुल्टो उल्टो भनेर भ्रम छर्न असम्भव ....","2","बि.एन जङ्ग",
"ईजरायले गाजामा पत्रकार मार्दा यी दलाल हरु चुपचाप हुन्छन् याहा किर्ते गर्नेलाई संरक्षण गर्न बिज्ञप्ति निकाल्छन","3","Arjun Gautam",
"राष्ट्रघाति,दलाल ,चुतिया कान्तिपुर","1","डी.बि. एल.",
"किर्ते नागरिकता र प्रेस स्वतन्त्रता बिच गोरु बेचेको साइनो छैन। दलाल कान्तिपुरले आफ्नो कर्तुत लुकाउन प्रेस स्वतन्त्रताको सहारा लियर जनमानसमा भ्रम छरिरहेको छ। कालो काङ्ग्रेस र 12 भाईलाई सबैले बहिस्कार गरौं❌❌👠👠👠👠👠","1","Nithin Xetry",
"प्रेस र नागरिकताकाे साइनाे कहानेर छ  ? मैले बुझिन ।","1","Prem Gharti",
"यसरी back  to  back   गल्ती ढाकछोप गर्नु  सट्टा नागरिकता किर्ते बाट  सफाइ  पाउने आधार  सार्बजनिक  गर  सिरैया करिन्दा हरु ??","0","Kee Run Sunam",
"कस्ता कस्ता चोर रैछन है, रबि र सिरोहोया एउटा कारण होला त्यो बेग्लै हो सिरोहोयाको नागरिकताको केस हो भनेर बुझ पचाउने यि उल्लेखित संगठन घातक हुन । प्रेस माथीको हस्तक्षेप होईन किर्ते माथीको छानबिन हो ।","4","Dharma Raj Neupane",
"सबै अफगानिस्तान का मिडिया रहेछ 😀😀","1","Gagan Pahare Pun",
"मैले बुझ्न नसकेको कुरा सिरोहिया जी कुनै कुरा लेखेको भरमा पक्राउ परेका हुन र? लेखेको भरमा पक्राउ परे पो पेस स्वतन्त्रता को कुरा, नागरिता प्ररकणमा पक्राउ हुदा किन यत्रो रोइलो, के मिडिया हाउस सन्चालक र पत्रकार ले गल्ती नै गर्दैनन।।","2","Bhoj Singh Khadka",
"चोर कान्तिपुर ... कति भ्रम छर्न खोजेको छस","2","Longlife Lamsal",
"कान्तिपुर अध्यक्ष हैन के पक्रीएको 
पक्राउ परेको त नागरिकता किर्ते गर्ने कैलाश हो 
ए बुझाइदेउ न कसैले यस्लाई","5","Darpan Pokhrel","1"
"भारतिय बिदेस मन्त्रीले ले बोल्न बाकी छ अब ! किन कि वहा त भारतिय र अ को एजेन्त हो नि","0","Wild Heart",
"कुरै नबुझी।","2","Krishna Tiwari",
"Rip kantipur","0","Milan Tmg",
"जो चोर उसैको ठुलो स्वर #bycut_kantipur","2","बिपुल ढुङ्गाना",
"कति हाँसुम😂😂😂","1","Ds Dangi",
"अन्तरास्ट्रीय भन्नाले भारतसंग हारहुहार गरेको भन्ने बुझ्नुस ।।।","0","Gopi K. Baral",
"पत्रकार चै सबै चोखा गलत नगर्ने नै हुन्छन र भन्या तेसो भए पत्रकारले ज्यान मारे सजाय हुनुहुदैन भनेर बिज्ञप्ती निकाल्ने होला हैन त ब्लाकमेलर कान्तिपुर","3","Yubraj Luitel",
"अनि पत्रकारलाई तलब नदिदा खेरि तिमीहरु प्रेस कुकर कता थियो लुकेको","2","कुमार धामी","1"
"सिरोहिया जस्तो ब्लाकमेलर दलाललाई पक्राउमात्रै हैन ईन्काउन्टर गर्नुप्रने हो","2","GP Chalise",
"समर्थकहरू सबै बिकेका रहेछ्न्।बुझियो।अस्ति सिधाकुराको टिमलाई पर्दा चुक्क नबोल्ने!!आजभने  गुलामीको आवाज !!धत् पक्षपातीहरू!! नागरिकताको केस सानो हैन नि!!के पत्रिका बेण्ड गरेको छ र कुर्लिन्छौ?।अनुसन्धान गर्नु पर्छ।होस् चाँडो","1","Bidur Adhikari",
"Rip kantipur","0","Manish Singh Bhandari",
"हेर्नुहोस त यो देशको चौथो अङ्ग को हालत कुहिएर झर्ने बेला भइसकेछ यो चौथो अङ्ग को आफू त कुहिएछ कुहियेछ धेरै जना नैं संक्रमित भइसकेछन्। रवि दाई हामी तपाईंको साथ मा छौ यी कुहिएका अंग हरुलाई अप्रेशन गरेर शरीर बाट छुट्याउनु नैं पर्छ बाकी संक्रमित हरुको पनि राम्रो संग उपचार गर्नुहोस🙏🙏","0","𝐟 𝐞 𝐞 𝐥 𝐢 𝐧 𝐠 𝐬",
"प्रेस का नाममा भित्र अर्कै धनदा चलाऊने तस्कर हरुको मुटुले ठाऊ छोडे जस्तो छ।","0","Yadav Mainali",
"एउटा ब्यक्ति माथि दाेहाेराे नागरिकता लिएकाेमा  अनुसन्धान भैरहेको छ 
कहाबाट प्रेस माथि हस्तक्षेप भयाे?","0","Kamala Ko Kanchho Chhora",
"दलाल 👎️👎️","1","Dinesh Rasaili",
"मालिक बचाउन हलि लागेका लागै छ्न","2","Sagar Dahal",
"कान्तिपुर मिडिया बन्द गराउन पछं ।","1","Sagar Dhungana","1"
"कान्तिपुरका अध्यक्षलाई होईन कैलास सिरोहियालाई नागरिकता किर्ते गरेको र दुई वटा नागरिकता लिएको मुद्दामा छानबिन गर्न पक्रिएको हो  बिदेशी कसैलाई नागरिकता संबन्धि मुद्दामा बोल्ने अधिकार हुँदैन / छैन।अर्को कुरा ब्यबसायी पत्रकार होईनन् र रडाको गर्न जरुरत पनि छैन ।","0","Subhash Chandra Joshi",
"किर्ते नागरिकता संग के को प्रेस स्वतन्त्रता ।","0","Vuone Dhami",
"Rip","0","Ran Thapa",
"साले देशद्रोहि लाई जन्मकैद जेल हाल सरकार","2","Basanta Naulo Khadka",
"कान्तिपुरकाे मालिक मात्र हाे.अनुसन्धानमा तानिएकाे सबै प्रेस जगत हैन दास मिडिया ।","1","Jeevan Shrestha",
"चोर काम आफै गर्ने अनि अरुलाई दोष लागाउने कान्तिपुर  जस्तै अरु पत्रीका नपढ्ने बानी बसालौ","1","Dhiren Shrestha Dhiren Shrestha",
"नागरिकता कृते गरेको आरोपमा पक्राउ गरेको छ मालिकलाई अनि कसरी प्रेस स्वतन्त्रता हनन हुन्छ।","0","Nepal Cricket Fan Club",
"किर्ते नागरिकता हो, प्रेस स्वतन्त्रता होइन है।","1","Hari Prasad Subedi",
"कान्तीपुर लाई बहीस्कार गरौ।","1","Som Karki",
"Don’t show your portfolio 💼. You should also stick for right to right information. Hold the strength to expose true information. Where is the matter of citizenship Mr. Kantipur????","0","युदिप युदिप",
"रबिको नागरिकताको सामन्य त्रुटि हुदा अदालतले गृह देखि एकै चोटि अनागरिक बनाइदिएको नजिर हुदा हुँदै बाउको नागरिकता अंगिकृत , छोराको नागरिकता बंशज , 15 बर्समा नगरिकता, नागरिकताको ३ ओटा फरक फरक नम्बर यतिका प्रमाण हुदा हुदै कैलाश अनुसन्धानका लागि पक्राउ नै पर्न हुदैन भन्नू हास्यास्पद छ । काङ्ग्रेसका सांसदहरु दिनभरी संसदमा  रबि लाई ठग भनेर उफृदै देशलाई नै ठगेर फर्जी नागरिकता बोकेको आरोपमा अदालतले पक्राउ पुर्जी जारी गरेको आरोपितलाई खुल्लमखुल्ला भेट्न जानू र समर्थनमा बर्बराउनु यो जस्तो नाङ्गो नाच अरु कहाँ देख्न पाइन्छ ?","0","Rayan Maharjan",
"नेपाल बाट डाडा कटाउनु पर्छ यो यो भारतिय एजेन्ट मिडिया लाई अनि मात्र नेपाल र नेपाली को हित हुने छ","1","Bharat Khatri",
"घाम मा सुकाइदेउ","1","Man Chhetri",
"तेरो धोति खुस्किसक्यो 😅","1","जय माबोहाङ","1"
"जनतालाई निरक्षर सम्झिएको कान्तिपुरे , सिरोहियाको कर्तुत थाहा छ, के कुन निकायको आदेशले के कुन प्रक्रियाबाट प्रक्राउ भएको हो भन्ने सबै जानकारी जनतालाई भएपछि कान्तिपुर बज्नु र लेख्नुको कुनै तुक छैन।","1","Bee Knowd Pandey",
"तिनीहरूलाई सम्झाई देऊ न, प्रेस स्वत्त्रता र  किर्ते नागरिकता मुद्दा एउटै होइन भनेर","1","बुल बल्ल सुरु",
"प्रेस माफिया मुर्दाबाद","1","Keshav Paudel",
"कान्तिपुर मिडिया मुर्दावाद","1","Xettry Karan",
